Sample,Fay June 16 Total Area MS1,Fay Late June 16 Total Area MS1,Fay Mid July 16 Total Area MS1,Fay Early Aug 16 Total Area MS1,Fay Aug 16 Total Area MS1,Fay Early Sept 16 Total Area MS1,Fay Late Sept 16 Total Area MS1,Fay Late June 17 Total Area MS1,Fay Early July 17 Total Area MS1,Fay Late July 17 Total Area MS1,Fay Early Aug 17 Total Area MS1,Fay Late Aug 17 Total Area MS1,Fay Early Sept 17 Total Area MS1,Fay Late Sept 17 Total Area MS1,JL 086C Total Area MS1,JL Late July 16 Total Area MS1,JL Dec 17 Total Area MS1,JL Nov 17 Total Area MS1,JL Oct 17 Total Area MS1,KB Early June 16 Total Area MS1,KB Late June 16 Total Area MS1,KB Early July 16 Total Area MS1,KB Mid Aug 16 Total Area MS1,KB Early Aug 16 Total Area MS1,KB Late Aug 16 Total Area MS1,KB Sept 16 Total Area MS1,KB Early July 17 Total Area MS1,KB Late July 17 Total Area MS1,KB Early Aug 17 Total Area MS1,KB Mid Aug 17 Total Area MS1,KB Late Aug 17 Total Area MS1,KB July 22 Rep 1 Total Area MS1,KB July 22 Rep 2 Total Area MS1,KB Aug 22 Rep 1 Total Area MS1,KB Aug 22 Rep 2 Total Area MS1,KB Sept_Oct 22 Rep 1 Total Area MS1,KB Sept_Oct 22 Rep 2 Total Area MS1,Lill Late May 16 Total Area MS1,Lill Mid June 16 Total Area MS1,Lill Late June 16 Total Area MS1,Lill Early July 16 Total Area MS1,Lill Late July 16 Total Area MS1,Lill Aug 16 Total Area MS1,Lill Early Sept 16 Total Area MS1,Lill Mid Sept 16 Total Area MS1,Lill Late June 17 Total Area MS1,Lill Late July 17 Total Area MS1,Lill End July 17 Total Area MS1,Lill Early Aug 17 Total Area MS1,Lill Late Aug 17 Total Area MS1,Lill Oct 17 Total Area MS1,Lill Sept 17 Total Area MS1,Buck Dam Aug 22 Rep 1 Total Area MS1,Buck Dam Aug 22 Rep 2 Total Area MS1,Buck Dam July 22 Rep 1 Total Area MS1,Buck Dam July 22 Rep 2 Total Area MS1,Buck Dam Sept 22 Rep 1 Total Area MS1,Buck Dam Sept 22 Rep 2 Total Area MS1
Label,Fayetteville 16,Fayetteville 16,Fayetteville 16,Fayetteville 16,Fayetteville 16,Fayetteville 16,Fayetteville 16,Fayetteville 17,Fayetteville 17,Fayetteville 17,Fayetteville 17,Fayetteville 17,Fayetteville 17,Fayetteville 17,Jordan Lake,Jordan Lake,Jordan Lake,Jordan Lake,Jordan Lake,Kings Bluff 16,Kings Bluff 16,Kings Bluff 16,Kings Bluff 16,Kings Bluff 16,Kings Bluff 16,Kings Bluff 16,Kings Bluff 17,Kings Bluff 17,Kings Bluff 17,Kings Bluff 17,Kings Bluff 17,Kings Bluff 22,Kings Bluff 22,Kings Bluff 22,Kings Bluff 22,Kings Bluff 22,Kings Bluff 22,Lillington 16,Lillington 16,Lillington 16,Lillington 16,Lillington 16,Lillington 16,Lillington 16,Lillington 16,Lillington 17,Lillington 17,Lillington 17,Lillington 17,Lillington 17,Lillington 17,Lillington 17,Buckhorn Dam,Buckhorn Dam,Buckhorn Dam,Buckhorn Dam,Buckhorn Dam,Buckhorn Dam
PFHxDA,0,11.86134092,490.0121065,2.820078962,0.277251513,3.263777421,17.38185769,42.61603376,75.76913298,0,8.978174603,7.735101357,16.41526176,2.832703844,20.91137825,260.5431466,27.69746861,4.709083298,16.84439124,0,17.25005391,0,3.073877253,0.692679444,1.20911674,3.507059864,29.02118771,39.92437722,0,36.24680267,263.7998876,0.887423935,2.531943708,0,15.62332798,2.989074418,19.25287356,2.671480144,18.03344751,28.90413807,10.775428,1.317322795,2.512812858,0,0.094764274,8.633093525,51.21094472,5.234505863,8.672987912,3.136837121,0.297619048,19.43099274,1.941282842,1.085625209,2.886201209,56.58805996,0.377408027,10.11606646
PFODA,0,0,0,0,0,0,0,0.210970464,0,0,0,0,0.388198758,0,2.739726027,1.156388155,0,6.802009209,0,0,0,0.786843969,0,0,0,0,0,0,0,0.998190779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284292822,0,0,0,0,0,0,0,0,0,0,0,0,0
4:2 FTS,0,0,184.0193705,0,346.194723,1.070090958,0,7.383966245,44.03763031,0,5.505952381,0,22.73735581,4.832259498,0,0,0,0,0,240.1261898,134.7147067,77.37299027,448.3692821,102.3567086,7.153940713,80.20493428,308.11698,0,45.60299988,9.10849086,71.95053401,0,0,0,2.835741038,0,0,0,2.317146887,73.4040341,58.0060423,0,5.398815744,89.00638907,76.80644397,0.784826684,24.95840266,266.5410385,0,0,39.18650794,0.544794189,0,1.002115577,0,0,0,0
6:2 FTS,13508.63422,14074.96367,548442.7966,13284.98912,434830.9228,9811.771001,47853.61217,807454.8523,587025.9853,28674.35027,23499.10714,247534.0649,251023.7356,369673.6281,45667.71037,69165.62147,35566.58427,83350.25115,85716.60588,596439.6063,79603.60814,114107.378,174677.2429,45956.96329,50301.52349,61462.79975,294408.3856,176311.4435,169542.458,137957.3897,56921.3041,220128.7187,148394.3355,241234.8146,220485.206,37565.46073,49593.2266,190107.6534,17298.2571,436326.7831,284838.6707,186139.7882,277089.9388,834927.462,584974.4136,1255021.452,1681774.265,2152842.965,455739.2711,102166.933,148877.8439,461518.9467,37016.80672,39913.56753,36838.09786,23986.71868,897.3121985,18395.26194
8:2 FTUCA,4023.024594,56465.7652,99469.43099,30817.94376,9656.346749,59378.33066,17633.40576,8549.437412,8171.421307,654413.935,124077.7778,35192.99649,15688.83097,5276.716285,3196.812972,70860.79755,3422.899517,5030.79591,1121.520914,2609.434448,1985.193704,31168.51575,5900.072939,6260.143758,3527.59809,8185.884338,5934.646374,25169.03915,47592.41563,46813.08878,7799.662732,222661.8915,188323.3528,46795.17448,32459.87159,8744.629973,9996.305419,2439.422383,9179.730002,50162.40383,25682.17523,40126.48832,20321.29174,5332.947786,4071.783937,14897.51472,21038.91662,64060.51089,8286.388352,5196.170691,1663.161376,4926.392252,9636.129135,7828.860929,28464.72421,32488.82265,7848.905517,11731.19882
8:2 FTS,2443.746729,2029.356819,22496.36804,1332.285875,16802.18105,893.9539861,3611.189571,25467.29958,18906.28019,6346.219146,2870.138889,24525.30102,14053.3496,18966.8407,196.8688845,2183.171884,170.2677054,20.9292591,1370.845746,10548.49236,4851.474982,7678.443098,6543.867875,2573.277493,5640.579973,5362.243705,5366.980006,5470.974199,9725.716705,5070.996319,3469.926925,4208.037525,4320.644174,1767.066521,1486.864633,380.282416,420.0636289,13107.11191,1565.031231,11366.39634,21995.8711,13186.75584,10464.02448,14059.87002,8875.669273,56103.33551,25029.58033,27571.60804,7944.59174,1769.797585,1668.75,8735.048426,1088.155515,1733.993987,2296.774785,2281.449987,141.0029208,776.8304317
10:2 FTS,207.8318507,177.8015005,1994.098063,164.4508903,2645.441523,50.66880685,320.7495926,933.1223629,996.9997457,522.7896043,261.7063492,585.8862978,732.364685,671.3508109,0,0,0,0,0,369.430115,115.7191116,16.31389829,1.510888819,1.198868268,0,8.132312728,232.0202925,178.7144128,559.9370993,183.9166511,196.9645868,245.3938472,163.8403109,50.87241003,19.6094168,24.55163884,21.21305419,995.3790614,221.3882732,1558.01622,3615.407855,1446.901758,868.9854207,1433.906147,1065.955935,5697.449313,1335.644297,1314.070352,828.5175033,104.1074811,127.5132275,831.9007264,79.99149027,44.28794121,96.34414513,99.01814675,21.90607463,72.36266794
8:2 FTPA,1957.308564,1686.030306,18654.66102,1049.673677,13965.80565,688.1754949,2891.417708,21582.3488,15555.96237,5149.405772,2347.222222,21198.48346,11611.63487,15609.2535,156.9471624,1659.683861,108.4725563,9.343419243,1023.285167,8413.35283,3934.860511,5997.744381,5205.011983,2116.775098,4571.771155,4296.809084,4403.312444,4245.106762,7808.576267,4117.474577,2818.100056,3388.607167,3455.043279,1351.990185,1156.153023,310.904968,346.8801314,11050.28881,1237.003828,9428.6754,18392.09466,11295.6883,8898.119122,11702.08196,7286.851457,47993.45978,20917.08264,21770.30988,6745.023143,1424.30161,1293.816138,7059.322034,891.4211254,1397.867721,1836.173722,1800.867888,112.4675921,615.867716
 6:2 FTCA,0,0,6.053268765,2.014342116,1.386257567,0,0,0,0.661072972,0,4.265873016,0.381039476,0,1.499666741,3.522504892,2.045917505,31.17344574,1.420199725,1.902534547,314467.823,508501.1962,327673.9843,316383.5574,140588.6976,200594.7343,136967.7147,3083.93017,17345.41815,700.0725777,261.4635972,20.46093311,0.718390805,0,0,0.026752274,0,0,6.78700361,0,0,0.151057402,9.373258347,0.497586704,1.817580965,1.753139067,1.308044474,4.899242004,0,0,0.355113636,0.330687831,0,2.818849059,4.370337379,5.726589701,0.569825546,0.590725608,4.094125129
10:2 FTCA,221.2628641,77.03940931,1097.154964,223.8739828,207.4765491,300.2675227,238.0228137,370.6751055,889.0414442,2511.94985,818.0059524,140.984606,331.9653949,86.09197956,417.5566117,508.9886941,383.4609697,1166.133469,43.85110115,622.2159037,460.6175109,228.184751,3383.348963,61.30213079,208.9252967,486.8205707,323.0378991,1053.658808,118.0597557,2047.913157,0,1339.883367,529.3528823,195.4471101,70.75976458,373.1189445,251.0570608,153.5018051,269.7964941,1247.556665,481.0171198,247.6566854,314.9475046,199.4382022,532.1487799,549.7710922,2586.984655,2184.463987,385.1615513,162.3165246,69.41137566,607.0217918,316.2429529,72.15232157,125.2061572,505.1722626,275.6883594,415.9114397
